04-24-2012 11:52:40.232 +0700 INFO  Metrics - group=pipeline, name=parsing, processor=sendout, cpu_seconds=0.000000, executes=198, cumulative_hits=2385
04-24-2012 11:52:40.232 +0700 INFO  Metrics - group=pipeline, name=parsing, processor=utf8, cpu_seconds=0.000000, executes=211, cumulative_hits=2561
04-24-2012 11:52:40.232 +0700 INFO  Metrics - group=pipeline, name=typing, processor=annotator, cpu_seconds=0.000000, executes=186, cumulative_hits=2285
04-24-2012 11:52:40.232 +0700 INFO  Metrics - group=pipeline, name=typing, processor=previewout, cpu_seconds=0.000000, executes=186, cumulative_hits=2285
04-24-2012 11:52:40.232 +0700 INFO  Metrics - group=pipeline, name=typing, processor=readerin, cpu_seconds=0.000000, executes=186, cumulative_hits=2285
04-24-2012 11:52:40.232 +0700 INFO  Metrics - group=pipeline, name=typing, processor=regexreplacement, cpu_seconds=0.000000, executes=186, cumulative_hits=2285
04-24-2012 11:52:40.232 +0700 INFO  Metrics - group=pipeline, name=typing, processor=sendout, cpu_seconds=0.000000, executes=186, cumulative_hits=2285
04-24-2012 11:52:40.232 +0700 INFO  Metrics - group=searchscheduler, dispatched=0, skipped=0, total_lag=0, max_ready=0, max_pending=0, max_lag=0, max_running=0, actions_triggered=0, completed=0, total_runtime=0.000, max_runtime=0.000
04-24-2012 11:52:40.232 +0700 INFO  Metrics - group=thruput, name=index_thruput, instantaneous_kbps=0.018127, instantaneous_eps=0.193357, average_kbps=0.503323, total_k_processed=279, kb=0.562500, ev=6, load_average=0.460000
04-24-2012 11:52:40.232 +0700 INFO  Metrics - group=map, name=pipelineinputchannel, current_size=12, inactive_channels=5, new_channels=0, removed_channels=0, reclaimed_channels=0, timedout_channels=0, abandoned_channels=0
04-24-2012 11:52:40.232 +0700 INFO  Metrics - group=per_host_thruput, series="linux-ahv8.site", kbps=0.018127, eps=0.193357, kb=0.562500, ev=6, avg_age=35.500000, max_age=48
04-24-2012 11:52:40.233 +0700 INFO  Metrics - group=per_index_thruput, series="_internal", kbps=0.018127, eps=0.193357, kb=0.562500, ev=6, avg_age=35.500000, max_age=48
04-24-2012 11:52:40.233 +0700 INFO  Metrics - group=per_source_thruput, series="/opt/splunk/var/log/splunk/splunkd.log", kbps=0.018127, eps=0.193357, kb=0.562500, ev=6, avg_age=35.500000, max_age=48
04-24-2012 11:52:40.233 +0700 INFO  Metrics - group=per_sourcetype_thruput, series="splunkd", kbps=0.018127, eps=0.193357, kb=0.562500, ev=6, avg_age=35.500000, max_age=48
04-24-2012 11:52:40.233 +0700 INFO  Metrics - group=queue, name=aeq, max_size_kb=500, current_size_kb=0, current_size=0, largest_size=0, smallest_size=0
04-24-2012 11:52:40.233 +0700 INFO  Metrics - group=queue, name=aq, max_size_kb=10240, current_size_kb=0, current_size=0, largest_size=0, smallest_size=0
04-24-2012 11:52:40.233 +0700 INFO  Metrics - group=queue, name=aggqueue, max_size_kb=1024, current_size_kb=0, current_size=0, largest_size=60, smallest_size=0
04-24-2012 11:52:40.233 +0700 INFO  Metrics - group=queue, name=auditqueue, max_size_kb=500, current_size_kb=0, current_size=0, largest_size=0, smallest_size=0
04-24-2012 11:52:40.233 +0700 INFO  Metrics - group=queue, name=fschangemanager_queue, max_size_kb=5120, current_size_kb=0, current_size=0, largest_size=0, smallest_size=0
04-24-2012 11:52:40.233 +0700 INFO  Metrics - group=queue, name=indexqueue, max_size_kb=500, current_size_kb=107, current_size=325, largest_size=325, smallest_size=114
04-24-2012 11:52:40.233 +0700 INFO  Metrics - group=queue, name=nullqueue, max_size_kb=500, current_size_kb=0, current_size=0, largest_size=0, smallest_size=0
04-24-2012 11:52:40.233 +0700 INFO  Metrics - group=queue, name=parsingqueue, max_size_kb=6144, current_size_kb=0, current_size=0, largest_size=4, smallest_size=0
04-24-2012 11:52:40.233 +0700 INFO  Metrics - group=queue, name=stashparsing, max_size_kb=500, current_size_kb=0, current_size=0, largest_size=0, smallest_size=0
04-24-2012 11:52:40.233 +0700 INFO  Metrics - group=queue, name=tcpin_queue, max_size_kb=500, current_size_kb=0, current_size=0, largest_size=0, smallest_size=0
04-24-2012 11:52:40.233 +0700 INFO  Metrics - group=queue, name=typingqueue, max_size_kb=500, current_size_kb=0, current_size=0, largest_size=17, smallest_size=0
04-24-2012 11:52:40.233 +0700 INFO  Metrics - group=realtime_search_data, system total, drop_count=0
04-24-2012 11:52:40.233 +0700 INFO  Metrics - group=search_concurrency, system total, active_hist_searches=0, active_realtime_searches=0
04-24-2012 11:53:11.266 +0700 INFO  Metrics - group=mpool, max_used_interval=4520, max_used=56979, avg_rsv=206, capacity=268435456, used=144
