sid,search,"splunk_server","_time","is_realtime","ui_dispatch_view","event_count","exec_time","result_count","scan_count",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_ui_dispatch_view","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time"
"rt_1335432208.22","| metadata type=sourcetypes | search totalCount>0 | rename totalCount as Count recentTime as ""Last Update""","linux-ahv8.site-bigjava","1335432208.535260",1,"dashboard_live",0,1335432209,0,0,canceled,"99.889000",,,,,,,,,,,,
"rt_1335432208.23","| metadata type=hosts | search totalCount>0 | rename totalCount as Count recentTime as ""Last Update"" | table host Count ""Last Update"" | fieldformat Count=tostring(Count, ""commas"") | fieldformat ""Last Update""=strftime('Last Update', ""%c"")","linux-ahv8.site-bigjava","1335432208.604194",1,"dashboard_live",0,1335432209,0,0,canceled,"99.843000",,,,,,,,,,,,
"1335432221.24","search index=""_internal"" source=""*scheduler.log"" _ScheduledView__* | head 10000 | rex ""_ScheduledView__(?<view_name>\w+)"" | fields _time view_name app user status","linux-ahv8.site-bigjava","1335432221.668600",0,"pdf_activity",0,1335432222,0,1,completed,"1.635000",,,,,,,,,,,,
"1335432221.25","search index=""_internal"" (source=""*python.log"" pdf* OR xvfb OR firefox*) | head 10000","linux-ahv8.site-bigjava","1335432221.705182",0,"pdf_activity",0,1335432222,0,0,completed,"1.740000",,,,,,,,,,,,
"rt_1335432256.26","| metadata type=sources | search totalCount>0 | rename totalCount as Count recentTime as ""Last Update"" | table source Count ""Last Update"" | fieldformat Count=tostring(Count, ""commas"") | fieldformat ""Last Update""=strftime('Last Update', ""%c"")","linux-ahv8.site-bigjava","1335432256.223769",1,"dashboard_live",0,1335432257,0,0,canceled,"94.840000",,,,,,,,,,,,
"rt_1335432256.27","| metadata type=sourcetypes | search totalCount>0 | rename totalCount as Count recentTime as ""Last Update""","linux-ahv8.site-bigjava","1335432256.248667",1,"dashboard_live",0,1335432257,0,0,canceled,"90.654000",,,,,,,,,,,,
"rt_1335432256.28","| metadata type=hosts | search totalCount>0 | rename totalCount as Count recentTime as ""Last Update"" | table host Count ""Last Update"" | fieldformat Count=tostring(Count, ""commas"") | fieldformat ""Last Update""=strftime('Last Update', ""%c"")","linux-ahv8.site-bigjava","1335432256.291028",1,"dashboard_live",0,1335432257,0,0,canceled,"90.876000",,,,,,,,,,,,
"rt_1335432259.29","| metadata type=sources | search totalCount>0 | rename totalCount as Count recentTime as ""Last Update"" | table source Count ""Last Update"" | fieldformat Count=tostring(Count, ""commas"") | fieldformat ""Last Update""=strftime('Last Update', ""%c"")","linux-ahv8.site-bigjava","1335432259.707397",1,"dashboard_live",0,1335432260,0,0,canceled,"102.238000",,,,,,,,,,,,
"rt_1335432259.30","| metadata type=sourcetypes | search totalCount>0 | rename totalCount as Count recentTime as ""Last Update""","linux-ahv8.site-bigjava","1335432259.747027",1,"dashboard_live",0,1335432260,0,0,canceled,"102.186000",,,,,,,,,,,,
"rt_1335432259.31","| metadata type=hosts | search totalCount>0 | rename totalCount as Count recentTime as ""Last Update"" | table host Count ""Last Update"" | fieldformat Count=tostring(Count, ""commas"") | fieldformat ""Last Update""=strftime('Last Update', ""%c"")","linux-ahv8.site-bigjava","1335432259.764494",1,"dashboard_live",0,1335432260,0,0,canceled,"102.162000",,,,,,,,,,,,
"rt_1335432644.32","| metadata type=sources | search totalCount>0 | rename totalCount as Count recentTime as ""Last Update"" | table source Count ""Last Update"" | fieldformat Count=tostring(Count, ""commas"") | fieldformat ""Last Update""=strftime('Last Update', ""%c"")","linux-ahv8.site-bigjava","1335432644.802969",1,"dashboard_live",0,1335432646,0,0,canceled,"106.905000",,,,,,,,,,,,
"rt_1335432644.33","| metadata type=sourcetypes | search totalCount>0 | rename totalCount as Count recentTime as ""Last Update""","linux-ahv8.site-bigjava","1335432644.838225",1,"dashboard_live",0,1335432646,0,0,canceled,"107.160000",,,,,,,,,,,,
"rt_1335432644.34","| metadata type=hosts | search totalCount>0 | rename totalCount as Count recentTime as ""Last Update"" | table host Count ""Last Update"" | fieldformat Count=tostring(Count, ""commas"") | fieldformat ""Last Update""=strftime('Last Update', ""%c"")","linux-ahv8.site-bigjava","1335432644.874161",1,"dashboard_live",0,1335432646,0,0,canceled,"107.172000",,,,,,,,,,,,
"rt_1335513599.6","| metadata type=sources | search totalCount>0 | rename totalCount as Count recentTime as ""Last Update"" | table source Count ""Last Update"" | fieldformat Count=tostring(Count, ""commas"") | fieldformat ""Last Update""=strftime('Last Update', ""%c"")","linux-ahv8.site-bigjava","1335513599.779461",1,"dashboard_live",0,1335513601,0,0,canceled,"103.103000",,,,,,,,,,,,
"rt_1335513599.7","| metadata type=sourcetypes | search totalCount>0 | rename totalCount as Count recentTime as ""Last Update""","linux-ahv8.site-bigjava","1335513599.815928",1,"dashboard_live",0,1335513601,0,0,canceled,"103.252000",,,,,,,,,,,,
"rt_1335513599.8","| metadata type=hosts | search totalCount>0 | rename totalCount as Count recentTime as ""Last Update"" | table host Count ""Last Update"" | fieldformat Count=tostring(Count, ""commas"") | fieldformat ""Last Update""=strftime('Last Update', ""%c"")","linux-ahv8.site-bigjava","1335513599.848350",1,"dashboard_live",0,1335513601,0,0,canceled,"103.129000",,,,,,,,,,,,
"rt_1335513861.13","| metadata type=sources | search totalCount>0 | rename totalCount as Count recentTime as ""Last Update"" | table source Count ""Last Update"" | fieldformat Count=tostring(Count, ""commas"") | fieldformat ""Last Update""=strftime('Last Update', ""%c"")","linux-ahv8.site-bigjava","1335513861.260753",1,"dashboard_live",0,1335513862,0,0,canceled,"95.360000",,,,,,,,,,,,
